epoch       	ep_ret      	ep_ret_sa      	ep_ret_bs      	ep_tx       	ep_tx_sa       	ep_tx_bs       	newbytes    	ep_delay   	ep_delay_normal   	ep_throu   
0	9.34318750822148	40.795649357143816	39.064122898644925	977016514.5224174	502672080.38339365	474344434.1390238	1028930165.6271706	0.0	0	479385.45263614046
1	8.020735083565866	42.566488890119054	39.823178818191074	988778607.9625596	521204182.1058256	467574425.85673386	1065357077.6376836	0.0	0	497059.042077852
2	5.855082298568455	40.53698977278596	39.20915008318929	948243753.6552236	485622767.0688952	462620986.58632827	972577233.0013312	0.0	0	463125.9604157404
3	6.208994685495564	41.828935964469196	38.63486133824883	934698077.9094677	497168799.00566125	437529278.9038066	997023810.9396921	0.0	0	474137.1145302402
4	9.23814074126423	40.09435391422686	39.23395954569224	960501829.3948016	499445047.6886087	461056781.70619303	1036069877.4636015	0.0	0	476307.91443692066
5	9.525462304013956	39.75724666348019	38.85602413444391	965070759.3835739	519795733.85918456	445275025.5243895	1145918646.5071375	0.0	0	495715.8411590427
6	13.736359577924816	41.763563300844865	39.20528755502298	951735189.9536959	515681437.2954577	436053752.6582384	1025924400.317624	0.0	0	491792.1421961379
7	13.49129315101091	41.15323953468429	39.10869077972278	980721969.9609588	522793334.3286124	457928635.6323468	1035930284.1926564	0.0	0	498574.57573758345
8	10.93388354305291	41.831128976864186	38.855892312372966	994792432.4523112	532257459.9651687	462534972.4871421	1054874036.6691557	0.0	0	507600.2692844093
9	9.238542373353454	41.30775940671784	38.65561675722561	971160839.1212871	516319630.4331927	454841208.6880944	1031485197.8407371	0.0	0	492400.77060050255
10	9.97518461846337	41.499209893195165	38.970349537842885	948745025.4100838	512420355.2960728	436324670.1140109	996890509.4420135	0.0	0	488682.1320496299
11	7.030352773790021	41.79395001802418	39.8132180073889	981044033.7164443	499624998.6044059	481419035.1120387	967780221.0698417	0.0	0	476479.52900353033
12	9.08470819221436	41.9754342355544	39.30423586854466	975695221.334181	524186909.3032502	451508312.0309312	1102740901.6555495	0.0	0	499903.592398882
13	10.384391661892636	40.982640765134796	38.876373071290004	975438765.9800117	506728566.6739539	468710199.3060581	1034488119.9855101	0.0	0	483254.0194263018
14	7.790975051705059	40.422162415188765	39.207302191778446	955435362.3155938	509650119.6177383	445785242.69785535	1027956934.1389639	0.0	0	486040.22943281016
15	5.585722094172975	40.92845285236998	39.89757128682883	968830356.0941293	494531414.97312254	474298941.12100685	996292143.6828221	0.0	0	471621.9091159081
16	8.759157727810083	42.03334115777043	38.875982380960345	978341286.150409	517225390.64481795	461115895.5055914	1097723635.3658588	0.0	0	493264.57085115206
17	4.209402625395262	41.48252694043452	38.684904919238896	969246862.0417119	504558479.093613	464688382.94809866	1054443123.9649135	0.0	0	481184.4626365785
18	11.544485040233905	38.98326531342086	40.38224149000455	971510712.5317854	501231483.42789525	470279229.10389	1081126724.5355408	0.0	0	478011.59231938864
19	8.793284258530198	40.810268507995794	39.31427178400288	987489207.1172198	510894424.8992008	476594782.218019	1039643575.8267516	0.0	0	487226.8914215094
20	6.9186326506729685	39.72711172122767	40.51931661451067	977295357.5663395	498603440.47818345	478691917.088156	1068026797.8128752	0.0	0	475505.295255836
21	9.404224006171106	41.315036918368534	38.698721378244024	991434654.8597294	518687183.26998365	472747471.5897456	1044654624.4617336	0.0	0	494658.644933685
22	12.66274884657733	40.147635830230776	39.67203155771542	967706825.0290012	509023264.65916866	458683560.3698327	1095346164.9988232	0.0	0	485442.4139587105
23	7.217276999839254	41.0840758249375	39.36477133740287	970802683.5123103	506424851.72308916	464377831.7892205	986721261.3851703	0.0	0	482964.3742781537
24	6.719301541983694	40.59962672997978	39.322218533884566	996848332.7528563	507190212.9192858	489658119.8335705	1049651551.4673828	0.0	0	483694.2795937402
25	6.61306055827546	41.79986771795391	39.34760894092063	979445540.9311063	514044263.86068493	465401277.0704216	1074669430.1548595	0.0	0	490230.8119398927
26	7.3600114647470765	40.159235258494554	40.51835426945886	969756737.7733091	504537356.3550291	465219381.41828007	1072510481.8880804	0.0	0	481164.3184232989
27	9.036242871095025	39.48774138017508	40.801354563157226	941633181.2118312	475094003.370982	466539177.8408493	1003075587.30638	0.0	0	453084.94889352977
28	11.553989676495789	41.21734514797913	39.53859261802034	984003703.8605149	499211793.44005686	484791910.420458	1037860113.668207	0.0	0	476085.46585088427
