epoch       	ep_ret      	ep_tx       	newbytes    	ep_delay   	ep_delay_normal   	ep_throu   
0	25.592586757796354	503975717.38956857	862423212.4593945	0.0	0	480628.6977668465
1	25.093071403778378	492806627.55298585	842545051.2682642	0.0	0	469977.0236520631
2	23.30974520066107	495106712.0844537	825002736.3698685	0.0	0	472170.55519528734
3	27.42294632208046	502726103.5134353	810685914.8338889	0.0	0	479436.9731077529
4	27.678140654506617	501044940.1617268	776670758.3306988	0.0	0	477833.69079754525
5	25.950252599955935	473527993.94755995	792344185.9387233	0.0	0	451591.4859271622
6	28.719010754029565	502765609.51964366	821337587.506034	0.0	0	479474.64897121774
7	27.583935539907916	497074931.55722344	833549870.1900864	0.0	0	474047.5955555184
8	26.67893174023433	498104020.7280205	825179926.9935594	0.0	0	475029.0114669996
9	27.054040396378156	475525898.79070115	715463857.7861274	0.0	0	453496.83646268945
10	26.383948677380282	472212725.481003	792656415.7359103	0.0	0	450337.1481714278
11	31.7098448415425	525761312.2248479	768053158.6655496	0.0	0	501405.06002888485
12	28.058595605177604	440640321.8235757	846111918.0593679	0.0	0	420227.35769612866
13	29.459037838253266	520637354.4684126	846784454.7536811	0.0	0	496518.47311822174
14	29.198256485228526	537483898.2297224	772733275.2369138	0.0	0	512584.58922359685
15	29.218097174543793	460986552.49146545	800255504.1871754	0.0	0	439631.03531977226
16	29.042124872950588	452422981.0388785	819188877.6644458	0.0	0	431464.1771687303
17	34.865323324189205	522286819.0861685	801996447.858991	0.0	0	498091.5251599967
18	34.015263530480844	521795624.12680864	915252173.4534514	0.0	0	497623.08514290676
19	33.33352524094571	538412656.6888512	854740677.5484271	0.0	0	513470.322312213
20	24.147816806288716	429892813.0102307	911015409.8713819	0.0	0	409977.73457549163
21	31.454808480858194	518374208.3925056	877692128.2363114	0.0	0	494360.1688313537
22	34.05015430386548	533371043.0414414	869948636.8309458	0.0	0	508662.2648634351
23	34.69954867820422	544321620.0458293	914781152.8042083	0.0	0	519105.5489023489
24	30.5078035165206	500125876.53919995	907289131.8009946	0.0	0	476957.2034255982
25	27.451662639309056	513729958.97980195	779574420.1132064	0.0	0	489931.0674474733
26	29.044961129262024	542193895.7379361	867886411.2458996	0.0	0	517076.39287751797
27	26.107498601226858	514456431.92084897	780064803.7180504	0.0	0	490623.8860329141
28	37.59168128914677	514344158.9483708	880440278.5877635	0.0	0	490516.81418263534
29	33.38890846112854	470917454.8992729	904641781.1211469	0.0	0	449101.8818848352
30	38.50676032371507	525760270.91549456	878220416.8024343	0.0	0	501404.06695889897
31	27.63411342437407	445033777.08953327	879557844.8256061	0.0	0	424417.2831435523
32	38.60969158257849	533217611.98271906	894086004.7940528	0.0	0	508515.9416033926
33	38.43081128616301	537153555.0149676	864796683.851063	0.0	0	512269.5493840863
34	35.46491052266935	508131339.0015361	868541448.5001568	0.0	0	484591.80736688233
35	26.28093960020231	489029553.25247097	841821637.1635609	0.0	0	466374.92490050406
36	43.12173616005275	579137877.1135424	932830286.9460462	0.0	0	552308.9190612243
37	41.13939403382397	580158154.4555595	953437702.8598511	0.0	0	553281.9313579175
38	33.99646558188753	518185080.5611998	936356078.5213712	0.0	0	494179.8024761196
