epoch       	ep_ret      	ep_tx       	newbytes    	ep_delay   	ep_delay_normal   	ep_throu   
0	21.040013317906947	492124068.1397356	475629804.1858223	0.0	0	469326.0842702251
1	21.48975881197541	504242665.36743015	479217577.645377	0.0	0	480883.27919714956
2	23.40910460570388	517859752.3763602	503690433.23111475	0.0	0	493869.54534183507
3	21.007722370793502	506217322.86886597	450853135.73366636	0.0	0	482766.4593399677
4	21.53814897191621	454446646.7165344	395493437.6290836	0.0	0	433394.0951505036
5	25.925899095289946	503704202.6998552	424781418.94124204	0.0	0	480369.7611807397
6	16.57755022178698	487087524.9321635	486754106.69532	0.0	0	464522.8623696933
7	19.436406265829557	440816628.325783	401999438.98156744	0.0	0	420395.4966790991
8	23.23173862353711	499724980.65967387	484670387.352604	0.0	0	476574.879321741
9	22.288545244195202	480470583.48919415	365598652.60416615	0.0	0	458212.45526236924
10	21.47812088222422	514348482.4906898	514319200.4248349	0.0	0	490520.93743390066
11	18.69589459097797	464237998.2089195	418330607.37485707	0.0	0	442731.8555916974
12	28.494387656900876	533874309.26527905	517675116.0608987	0.0	0	509142.2169354239
13	24.893048722881176	496977036.45928115	482079246.4205639	0.0	0	473954.2355149089
14	18.602116815707106	489450749.8102671	501085935.0298234	0.0	0	466776.6092398328
15	21.431284687843185	486535946.8230904	484866407.04667234	0.0	0	463996.83649357816
16	23.101532625448904	507417706.1413808	469403511.6732005	0.0	0	483911.23403680883
17	32.73675489144426	553173946.6813314	544314195.0729542	0.0	0	527547.7854550661
18	27.589555379775632	494993299.47662723	435291725.6435252	0.0	0	472062.39650404645
19	24.25050989972515	481966609.28763956	508425317.6535223	0.0	0	459639.1766430278
20	28.59222937990792	507232605.0501793	525155509.7546637	0.0	0	483734.70788019104
21	28.369633052145378	547472642.4301451	488201342.85928404	0.0	0	522110.5980206921
22	29.625832682065635	538471872.8778167	504099674.0385672	0.0	0	513526.7952707449
23	32.47967948237802	529624382.3412454	433640043.19311965	0.0	0	505089.1707813695
24	36.496974673994316	582788896.024101	519273533.5730406	0.0	0	555790.8020249377
25	34.438304039183365	518013721.5094762	522028052.61624587	0.0	0	494016.38174960716
26	25.652248095110174	500825977.9600391	497703402.7758572	0.0	0	477624.87216953206
27	19.75496696210239	495231503.62665516	388289101.03623515	0.0	0	472289.5656839895
28	27.026146882817766	508727738.5901913	509457929.8110893	0.0	0	485160.57833689806
29	24.390328870241195	486333117.1732108	409148554.4085685	0.0	0	463803.4030658825
30	20.015009553837796	476878251.8920389	401605171.9902727	0.0	0	454786.5408821477
31	25.575284566830746	505875793.4316951	484790363.1293102	0.0	0	482440.7514874412
32	23.084518498720346	492927654.83674467	474668556.767757	0.0	0	470092.4442641685
33	27.316743134938097	506193793.1417877	485748341.3756556	0.0	0	482744.01964358095
34	23.8581003672072	498748143.8799228	531810882.1319957	0.0	0	475643.2951735715
35	30.744040722078218	518327215.5660766	528498101.6594556	0.0	0	494315.35297973297
36	31.458639601095182	511487148.6298901	475851420.45734465	0.0	0	487792.15682019247
37	27.198728502180316	477063678.29397464	332386234.62174827	0.0	0	454963.3772792575
38	38.801631130003955	504086995.5091797	456330798.593258	0.0	0	480734.8208514974
39	34.981471728864754	505850621.3107084	497279565.1324148	0.0	0	482416.74548216665
40	38.609954568596365	541545879.7408274	526003066.0916538	0.0	0	516458.39666445495
41	37.36206905137917	533604434.02537227	470209103.40997016	0.0	0	508884.8438504908
42	38.59111308375482	536855754.89535373	514906959.5955321	0.0	0	511985.5450585877
43	39.06486770789801	545315297.5046897	456279522.4926044	0.0	0	520053.19357365597
44	37.681698242118316	478136866.2599119	452693316.9842132	0.0	0	455986.84907904785
45	40.21640690340574	533031508.6799948	488683944.347667	0.0	0	508338.4596633862
46	41.24146704830256	536631211.43283325	529911495.0342969	0.0	0	511771.40372546494
47	33.67215782278752	454781054.3441707	469938395.63709354	0.0	0	433713.01111619023
48	37.46978835755499	470077661.09607184	422832012.9983037	0.0	0	448300.9921036453
49	34.555285841853	474138680.93018246	426722961.55561966	0.0	0	452173.8824178528
50	39.99527496836398	505341478.5497733	508888394.90212816	0.0	0	481931.1891076786
51	32.97607752114831	476168455.0036946	460372000.2994682	0.0	0	454109.6258198687
52	34.862999553376994	530679606.34377813	534433945.3230267	0.0	0	506095.51081064023
53	35.6675445063509	502550235.9683107	412446942.7664105	0.0	0	479269.2527468782
54	39.60331723877516	498167291.1199746	468208351.38332915	0.0	0	475089.35081479495
55	39.72098391130282	503566004.6763215	455299966.5286954	0.0	0	480237.9652751173
56	37.467372728987456	473878695.50045735	427031639.37000734	0.0	0	451925.940990884
57	40.33063425170943	494302855.39164466	467494275.9009747	0.0	0	471403.93771328416
58	36.317669038888035	447371179.37567365	420504180.5756446	0.0	0	426646.40367095335
59	38.2214927703569	507645756.0394487	519525961.08846664	0.0	0	484128.719367455
60	37.09847347895727	513622035.13483596	400823664.45739186	0.0	0	489828.1432484015
61	41.73031211931392	513394405.72921026	492679845.8730416	0.0	0	489611.0589305976
62	37.677527830401075	506376041.8888662	457737979.1857973	0.0	0	482917.825592867
63	34.81620441711436	547806287.7949215	462226941.06687564	0.0	0	522428.7870358672
64	33.642805313925386	514594546.8092282	455009786.93866354	0.0	0	490755.60265467473
65	37.439273189905464	519179461.62091345	491327341.04658026	0.0	0	495128.1181534896
66	30.67663315617124	509164180.0156672	417551422.0188163	0.0	0	485576.80131499015
67	28.582470664858832	507149222.84077567	481548439.32174	0.0	0	483655.18840863754
68	35.684075982817596	552195190.3567127	536648893.0738582	0.0	0	526614.3706862571
69	27.791907618512468	486932092.80930126	508034506.2170092	0.0	0	464374.63074617507
70	35.93052092354959	508829759.5025414	517122558.8378747	0.0	0	485257.8730607428
71	32.65410098796294	461967645.0228073	491172678.0459848	0.0	0	440566.67806893104
72	33.23830601722736	517446428.1744469	434495142.3236433	0.0	0	493475.3686661213
73	34.512877723353	545871300.8008785	451864924.0049715	0.0	0	520583.4396370685
74	30.377511660417106	501539576.0285624	438960066.8097217	0.0	0	478305.41231971956
75	29.992173779451775	458951758.6634793	551183678.7604121	0.0	0	437690.5047068399
76	32.756816946029616	521045339.75114685	550601385.7374691	0.0	0	496907.5582038372
77	39.64605160325737	543734314.7820203	522505303.04334956	0.0	0	518545.45095636393
78	31.73089394294937	406277810.59616137	456584339.02593696	0.0	0	387456.71329132223
79	31.637485171896657	461818226.71630555	522437011.9294725	0.0	0	440424.18166761927
80	34.885847972077656	510761002.62807	484340058.1470898	0.0	0	487099.65002829506
81	40.39588469405211	552028013.3986417	436928077.3512932	0.0	0	526454.9383150499
82	35.734958214103834	518839936.95969576	495892314.09828395	0.0	0	494804.3222042996
83	32.097201102889876	429565755.73236275	481527386.86586076	0.0	0	409665.82844959514
84	41.78665607378529	532023321.40364504	555486234.8221322	0.0	0	507376.977351804
85	33.43142940035584	501166958.83818346	523454524.4459982	0.0	0	477950.0568754039
86	38.85630189700759	526275448.4468102	488439271.7564061	0.0	0	501895.37853890425
87	39.6414083345202	504424541.7147954	503162326.65604925	0.0	0	481056.7299983933
88	36.08663106487539	537341191.9652935	474550596.107707	0.0	0	512448.49392442085
89	35.74992977520002	498755846.0846976	438096125.4948951	0.0	0	475650.64056844503
90	35.45430378364571	511323959.025981	519730201.50881606	0.0	0	487636.5270862396
91	36.515144249869	526884463.9457789	566169567.9236381	0.0	0	502476.1809785641
92	35.06502302490186	469394846.31401616	542404927.2898017	0.0	0	447649.80918313615
93	36.57546488935717	501460229.2085975	448147471.13117963	0.0	0	478229.7412954306
94	29.794921642567466	443310474.53489953	516451306.5279306	0.0	0	422773.81375780056
