epoch       	ep_ret      	ep_ret_sa      	ep_ret_bs      	ep_tx       	ep_tx_sa       	ep_tx_bs       	newbytes    	ep_delay   	ep_delay_normal   	ep_throu   
0	8.392817559256377	40.10816994870286	35.437655444011675	917339328.8571241	494578423.00702965	422760905.8500944	948895036.2773657	0.0	0	471666.73947051005
1	9.20535638316893	37.28046066359417	36.2609986381285	898358117.5246505	473839355.8886269	424518761.63602376	1144228923.518219	0.0	0	451888.4238134641
2	9.084940190424591	37.944986872534784	36.287961939594624	866936976.4102874	455099382.9185143	411837593.4917731	1023805941.7871575	0.0	0	434016.59290172026
3	10.719680126909012	39.12387277080225	36.4702120755515	886263754.5428197	475671640.2825486	410592114.2602711	982922823.9280773	0.0	0	453635.8263802993
4	10.323977055139379	39.94577015917124	35.98513091506582	866008246.5962794	455466765.0963343	410541481.4999448	1004854751.1524278	0.0	0	434366.9558490127
5	17.97787250681229	41.025039071603175	35.927015309940046	889523553.9952037	483934237.02253085	405589316.972673	1029777805.305005	0.0	0	461515.65267804195
6	12.597692576775682	41.442508335252825	35.731808852652755	935154877.3578502	478670577.07780534	456484300.2800447	1032963122.8842795	0.0	0	456495.8353784613
7	17.885607601797147	40.969025936268	35.44333239644212	913575046.6301111	457486956.8879535	456088089.74215764	926619941.6669921	0.0	0	436293.5608748946
8	10.338991306462098	40.58961439256626	35.62052695943561	846712458.1116986	424575593.96463764	422136864.1470608	873163110.114525	0.0	0	404906.83933700353
9	15.756618175481712	39.400454507722486	34.596434284894194	854016916.3470861	461045380.8361033	392971535.5109829	950493832.7637986	0.0	0	439687.13840113004
10	22.098987239578065	40.497944327344555	34.345860221785614	899176677.2455267	488213330.3574863	410963346.8880404	945236097.4961399	0.0	0	465596.5140890944
11	18.438892327414138	39.653392890801605	34.41976573732684	890717081.606897	459230952.0785931	431486129.52830404	979975870.8761389	0.0	0	437956.76429614343
12	19.034395476575902	39.95180947869418	34.60239000242439	866277843.9079006	469769701.72137773	396508142.1865227	991323763.0326593	0.0	0	448007.2991575028
13	16.59513963857901	38.042195698181736	33.560813053776	877414493.8246062	464933209.04138577	412481284.78322035	1044845939.7321616	0.0	0	443394.86030710774
14	19.572664752373463	37.31677541169626	34.10466466879229	867362752.9049835	425612619.048495	441750133.8564885	954506442.7029916	0.0	0	405895.82352494705
15	18.370108830096218	37.817081452889646	34.07779571410853	868378399.7836484	439850049.91642725	428528349.8672212	984278385.9272834	0.0	0	419473.6956753037
16	23.67067151521472	39.132983713439536	33.32710106739249	881291340.2795424	463568552.59089315	417722787.6886496	1040006557.6058651	0.0	0	442093.4224995546
17	20.9066551421433	40.39606077210699	32.77352892709982	872254054.4835547	464895281.049536	407358773.4340189	1002402693.9685411	0.0	0	443358.6893554076
18	25.399762421461926	38.79562205564568	33.27559089708887	881435093.3641899	457785884.16443473	423649209.19975525	1048427229.8022594	0.0	0	436578.64014094806
19	31.65507189223637	40.782952130891516	31.842372893309047	915041476.8885142	511763606.9413713	403277869.9471429	1056973099.1607512	0.0	0	488055.808011409
20	36.30398182966469	40.667676469919435	31.875985275810134	957233352.6893497	518233069.7692934	439000282.920056	1075803332.9708583	0.0	0	494225.5685513433
21	37.4015987364445	39.83305668811764	30.957941265047587	975001597.1808283	534106098.7060866	440895498.4747419	1105690000.525351	0.0	0	509363.268571936
22	33.522291253405996	38.41413531548936	31.66802685875606	979447513.9579332	533427565.328284	446019948.62964946	1111191523.4016485	0.0	0	508716.16871670156
23	33.04751769234933	37.055090918348476	31.668472627943252	949794396.8561765	517084799.6606941	432709597.1954822	1168089603.548875	0.0	0	493130.4928404754
24	33.517526844938324	38.35614902712194	32.18726411257062	955115257.4835558	518561127.0713516	436554130.41220415	1134559183.826449	0.0	0	494538.42837462586
25	34.62114692820766	39.60757006040339	32.111280986655835	930905005.4118794	508536084.4927817	422368920.9190978	1048705133.8768629	0.0	0	484977.8027465645
26	12.004006713384321	37.31459419537215	35.89256079267354	923828978.9498053	502323893.4671675	421505085.4826378	1212522706.276534	0.0	0	479053.3957168271
27	8.768685373776162	36.32788961796572	36.25874585997647	856836006.3030962	485499364.94066966	371336641.3624264	1156401952.7391877	0.0	0	463008.2749754617
28	8.274033144719112	38.088619711503576	34.32887500449427	872917385.3578318	514943557.4459291	357973827.91190284	1185602620.1266174	0.0	0	491088.44513504894
29	11.109545110329833	38.29463207191808	35.4805544583925	867548544.0868229	508718089.9391059	358830454.147717	1021153727.4085861	0.0	0	485151.3766661699
