epoch       	ep_ret      	ep_ret_sa      	ep_ret_bs      	ep_tx       	ep_tx_sa       	ep_tx_bs       	newbytes    	ep_delay   	ep_delay_normal   	ep_throu   
0	30.99101940568124	32.10420550836707	26.53827499493791	1200469136.2127662	512011181.9555601	688457954.2572061	1451394781.2050803	0.0	0	488291.913943825
1	32.25880843273363	32.95867067368235	29.459359468938704	1264325242.1875021	521602755.86219734	742722486.3253051	1466271145.7387762	0.0	0	497439.1516324972
2	32.71880739888901	33.61184003215698	29.146676865817067	1271757931.0174098	530012682.30892617	741745248.7084833	1431506449.7173698	0.0	0	505459.48248760815
3	33.22014442295725	34.45403243994401	28.2845923550102	1329904543.7275155	547819694.26669	782084849.4608253	1508357751.0967379	0.0	0	522441.5724436665
4	32.03005399685742	32.86744028177788	28.68050885717555	1338866238.2184792	526943812.17661536	811922426.0418638	1446505264.972177	0.0	0	502532.779862037
5	32.107997628066734	32.592118319493764	30.17151486235865	1355362776.097954	514371188.99891406	840991587.0990402	1480989947.1264503	0.0	0	490542.5920476092
6	33.20130420241653	34.86223443685736	26.557583264653164	1375171489.237247	523700576.50348043	851470912.7337661	1380637791.2464857	0.0	0	499439.7892985158
7	31.80737271595593	33.244805991056666	26.057639615552933	1484679170.4493785	525169413.2901184	959509757.1592603	1485446667.4446898	0.0	0	500840.58121692477
8	34.028875260683854	34.90902265830079	30.508285670216026	1201043161.8064785	548566431.5238346	652476730.2826434	1408886222.337515	0.0	0	523153.7165869088
9	33.28043839594985	35.029229314932394	26.285274720019622	1479913315.3871474	567547984.5132803	912365330.8738669	1451613159.264756	0.0	0	541255.9361584475
10	30.073476978367417	31.30746277372287	25.13753379694562	1237373097.5087898	498791163.0406179	738581934.468172	1395472340.255296	0.0	0	475684.32144223974
11	31.08314247052577	32.367113694892936	25.947257573057115	1319248648.4154568	517129388.7081477	802119259.7073088	1385388187.8756204	0.0	0	493173.0162698247
12	33.53408746369516	34.744557387910135	28.692207766835203	1269581526.2909863	574434483.8926039	695147042.3983823	1417092698.7208982	0.0	0	547823.413746456
13	29.083127220489544	30.963420240126382	21.561955141942136	1222678329.3285522	507750563.96617174	714927765.3623805	1454902841.7906368	0.0	0	484228.6719953267
14	30.15550452211479	31.507397760934204	24.747931566837057	1289417588.7999043	508557296.7774446	780860292.0224594	1408592406.5604572	0.0	0	484998.0323576398
15	33.40030280858621	34.233822590550815	30.066223680727767	1299626124.150843	547055637.3405838	752570486.8102586	1586544034.9762673	0.0	0	521712.91097696655
16	33.25657071476666	34.54726307502505	28.09380127373309	1357280121.9591484	542101477.5795908	815178644.3795576	1483878278.0871837	0.0	0	516988.25605353434
17	33.26999425310565	34.56170894911382	28.103135469072953	1366028203.3008218	574722712.4324656	791305490.868356	1563268694.2057133	0.0	0	548098.2899021774
18	31.74620163814785	32.796998878913925	27.54301267508353	1414671881.746228	542427879.3565412	872244002.3896865	1588053398.2922158	0.0	0	517299.5370450414
19	31.84229062840734	32.83570991701321	27.86861347398391	1410986993.345756	531760264.4485693	879226728.8971875	1501060987.4654546	0.0	0	507126.1066899963
20	34.6106869084394	35.919661377965916	29.374789030333332	1442942535.2107122	591873046.0060052	851069489.2047075	1441605830.911734	0.0	0	564454.1225490619
21	33.13333118365074	33.69051591402948	30.904592262135765	1266162070.8591132	551647518.9011047	714514551.9580082	1428394435.1321092	0.0	0	526092.0704852147
22	31.82258418941828	33.08325443859298	26.779903192719413	1370572440.0208335	552348440.0050112	818224000.0158218	1495465033.6001346	0.0	0	526760.5209398377
23	30.698565524242152	30.59254764926409	31.122637024154358	1288614298.8123214	504395392.223904	784218906.5884169	1501058903.773597	0.0	0	481028.93087759404
24	28.917473008020238	29.84607252660115	25.203074933696566	1398039729.5847216	475279971.3657809	922759758.2189401	1402898444.708961	0.0	0	453262.30179384304
25	31.39929324262647	31.696669995875908	30.209786229628747	1324844637.1989937	530657435.61564434	794187201.5833496	1550059714.2538638	0.0	0	506074.36715664313
