epoch       	ep_ret      	ep_ret_sa      	ep_ret_bs      	ep_tx       	ep_tx_sa       	ep_tx_bs       	newbytes    	ep_delay   	ep_delay_normal   	ep_throu   
0	29.79484362164588	37.94410287855298	32.68575977705452	986766957.3546103	461669960.85292983	525096996.5016802	1011410123.0810307	0.0	0	440282.7843217179
1	29.949286494921353	38.02156251157227	35.23499859030466	896586239.7937387	463926184.16876245	432660055.62497634	1036610208.0709054	0.0	0	442434.4865501047
2	24.966134046640192	31.78794201181456	27.877876762802455	637522758.863896	384143714.15124226	253379044.71265388	1043674890.9785837	0.0	0	366347.99399494386
3	29.047336373196515	35.76741539072156	31.753157307407424	928697973.7684159	449488693.2194546	479209280.54896176	1001795554.3804424	0.0	0	428665.82223840203
4	28.629684675261796	34.80629118785408	34.963905205583565	705755803.9717295	443744135.0736777	262011668.8980516	1013360622.2524846	0.0	0	423187.3846756725
5	29.52544688227235	38.18016943020741	34.469342916370124	851206898.963995	458059641.78900534	393147257.1749896	980936977.156404	0.0	0	436839.7157564215
6	30.010099117025913	36.65710609012514	34.1613612712888	938394217.3918555	464628783.4064838	473765433.98537153	1101786659.954011	0.0	0	443104.537397846
7	28.412545844420425	34.2539683375147	34.836632387883	817576806.942887	438627906.77181715	378948900.17106974	1110180963.328798	0.0	0	418308.169147317
8	33.61336649211448	39.12151102480241	30.967395725404096	833389113.418016	520924492.78431904	312464620.633697	1114162491.8421082	0.0	0	496792.30955535796
9	30.570584034360586	37.429112959733516	35.22028818135354	740791858.1545552	473633165.48113257	267158692.67342272	1060311894.0486729	0.0	0	451691.7853175474
10	31.89566041771579	36.27008340518886	33.420966921962226	935167119.3594502	492238688.4817703	442928430.87768024	1231089210.834577	0.0	0	469435.39474656136
11	30.806079699089853	37.73712659817772	28.77741236421934	762919946.0030996	477055955.98001367	285863990.0230857	996700867.917317	0.0	0	454956.0127067696
12	30.02348851311892	36.66236067974494	28.81367301174883	691430655.1615335	464372934.53445303	227057720.6270804	1031903240.7900126	0.0	0	442860.5408997086
13	37.49116454184682	43.627123514695356	38.226533762153416	1096167052.8818195	580958343.314603	515208709.567217	1158752002.8887293	0.0	0	554045.0509210615
14	29.04290490413783	35.0449738110661	28.63474710797462	793280311.0463423	449531843.612453	343748467.43388915	1056812979.212023	0.0	0	428706.9736599475
15	31.507631122657315	35.65960961879213	23.46035034631877	829195834.9977762	486419982.51155823	342775852.48621786	1107500342.959692	0.0	0	463886.2443080504
16	32.623226428508225	36.27934382490395	35.09165906999573	917078781.817269	504760353.01413834	412318428.8031308	1172347836.0655763	0.0	0	481376.98460973584
17	35.13111517833417	39.00152984375301	25.88664194992955	746630599.0734802	543430483.6273341	203200115.44614577	1189850319.8329856	0.0	0	518255.69498761557
18	35.040376794917115	39.02291668186872	33.833820366533224	933305048.9482739	542202811.8724241	391102237.07584983	1087447101.3240483	0.0	0	517084.89596598083
19	33.55026631724641	37.858473691072575	34.045739723503715	963703510.5121568	516367110.6838917	447336399.82826495	1204005495.520909	0.0	0	492446.051296131
20	31.73783295848097	34.59992913642355	27.34762775166216	806558534.5828158	492010012.58606964	314548521.99674577	1188991100.1217918	0.0	0	469217.31241805037
21	31.32098828671574	33.77452937063573	29.323230398455998	794034360.0476255	485937972.9709863	308096387.0766393	1144517425.0496047	0.0	0	463426.564188944
22	34.29939859534783	36.49231158289239	34.63608599862843	829569816.8863376	530284590.3310284	299285226.55530924	1169068708.5587358	0.0	0	505718.7941847119
23	34.56975092042476	35.918062969482506	23.61682209177138	842996831.5846901	532986599.13109875	310010232.45359176	1302612489.3837302	0.0	0	508295.63058004243
24	40.26198493975095	42.797271863335645	23.800528809441754	816131273.8449444	620762370.080027	195368903.76491702	1252089011.2558188	0.0	0	592005.1289367937
25	33.087930996482854	38.191571379682685	29.217742144030222	682600902.4961774	510485075.2072769	172115827.28890076	1135795862.582482	0.0	0	486836.505133893
26	26.955127568511042	28.81917960820099	24.56420319201711	594407497.3657851	415072827.35402393	179334670.01176098	1240737792.5860143	0.0	0	395844.29488565814
27	27.052744304993958	29.468395814644424	38.48879144779859	744294268.5024445	419381880.61181587	324912387.8906288	1263260055.4303763	0.0	0	399953.7283056412
28	33.03510780055106	34.958213441122346	29.690619487768284	830074657.968007	508361251.675761	321713406.2922461	1197110945.7535515	0.0	0	484811.069179307
29	27.699749931228506	28.759276640250985	29.72765470570218	692453918.072521	429244146.8660106	263209771.2065106	1298081974.6513567	0.0	0	409359.11833382666
30	29.784269409998245	31.13130519840778	30.715563305530125	811406670.2726647	457970994.16477275	353435676.1078921	1276253685.380228	0.0	0	436755.17479398026
31	26.837924279301873	27.999585596627806	31.208360543127384	898884636.606063	409061666.08646506	489822970.519598	1293712868.167796	0.0	0	390111.60477301106
32	26.60691755887269	27.492365609699856	34.370130644829956	717686065.3801512	411898581.45835215	305787483.9217992	1183502569.854084	0.0	0	392817.09810099803
33	29.719173328984365	30.49193432877693	30.016944686455844	857545656.7950786	460306243.7830682	397239413.0120104	1263383250.2965431	0.0	0	438982.24237734627
34	34.95101236790729	36.349443330973685	33.637764773705065	978229943.3722236	541632980.5930375	436596962.77918625	1278024738.5694666	0.0	0	516541.4625101447
35	38.583874067531276	40.827257167777184	28.65367671849334	1013986213.8000414	597493540.8948429	416492672.9051986	1357422535.1925988	0.0	0	569814.244170039
36	35.52579530664625	37.91105898171196	35.90247334942835	817670176.6582621	549259723.5845182	268410453.07374388	1264675428.485124	0.0	0	523814.89141895104
37	33.80112882539622	36.67610248335369	34.69438029640746	871185980.9559636	522360195.7910337	348825785.1649299	1250867250.32208	0.0	0	498161.5026388488
38	33.32948667810165	36.07602702725411	31.91031400217824	902189945.9509848	514570323.83842254	387619622.1125622	1239551881.109751	0.0	0	490732.5018295505
39	37.837937232338625	40.22123740441819	25.981620530694418	901311091.0911695	586354159.930743	314956931.1604263	1213032562.1512134	0.0	0	559190.9026439122
40	31.938004413385976	33.01933041978861	20.972444002511537	703949458.1670473	490048768.0572192	213900690.10982797	1144347104.4388623	0.0	0	467346.92388269334
41	36.35440637931705	37.547280990447945	31.562739376041918	951129555.3860368	563376070.6867326	387753484.699304	1259848503.89613	0.0	0	537277.2890918091
42	43.16272035644746	45.93444212994498	30.713647515386874	925313782.7170292	668083593.6207136	257230189.09631562	1167351233.850167	0.0	0	637134.164448465
43	31.99945656256676	33.74446071175549	27.585424622343837	843772369.2357328	495929050.0930746	347843319.1426582	1206026285.1525536	0.0	0	472954.79783351405
44	36.01574369821935	37.90631651969301	33.99733344786827	879797121.2284353	559444233.8461052	320352887.3823302	1237658091.6337113	0.0	0	533527.5972806026
45	37.93160734532825	39.50329923146315	27.792058471584813	753688077.7632221	585522732.254697	168165345.5085254	1154884446.5623035	0.0	0	558397.9914233179
46	41.97082990099368	42.91940360409162	30.57595981557876	1017747025.1070131	650124990.1772022	367622034.9298112	1302694612.0199866	0.0	0	620007.505585863
47	35.76178660062313	36.9793374255338	29.43698696050903	1096906626.7383711	552847019.8651563	544059606.8732151	1273376477.394647	0.0	0	527236.0037471354
48	29.758450263234835	30.600021207812983	26.513753404325406	896127703.9109882	459072348.19950753	437055355.71148074	1200749246.2298965	0.0	0	437805.507850177
49	36.41955918996058	37.64942429723913	34.44733323752059	898286654.2761701	563953257.8389051	334333396.43726486	1257570969.1325812	0.0	0	537827.7376545956
50	41.09817009869746	42.041413844352725	27.681647956636347	1014896798.3667116	635676453.2162981	379220345.1504134	1290471347.4247243	0.0	0	606228.3069766028
51	22.87783533757755	23.287710142358854	35.14505322390724	788681462.2427396	351872057.4644248	436809404.77831507	1218393675.204609	0.0	0	335571.34386484604
52	38.991933513636724	40.334477800481025	30.573091343141726	770045008.1966256	602553643.6818637	167491364.5147619	1236189974.7787414	0.0	0	574639.9342363963
53	37.78874428652036	38.75070216911742	30.98704300779922	951707676.116746	583809771.8120738	367897904.30467194	1202889201.7323678	0.0	0	556764.3850441684
54	24.68676723416823	25.133235784109978	24.361420650073054	718628362.3467938	379696990.00133985	338931372.3454541	1187241392.5445657	0.0	0	362107.26738103863
55	31.56177746949336	32.873556781649256	28.277392706720388	816918053.2916099	489359751.83220977	327558301.45940036	1262490688.462264	0.0	0	466689.82680531486
56	28.999564692105064	29.84245195585398	35.59392591148475	741274450.2229477	449564060.317174	291710389.90577346	1288251751.5679512	0.0	0	428737.6979037991
57	33.710335352136724	34.773822665116086	30.15316534317642	898696274.4087796	522551158.0921617	376145116.3166183	1306819700.3096573	0.0	0	498343.6184808365
58	32.48763258660857	34.610463805604155	26.30293834409089	890789150.7296474	502358491.8631858	388430658.86646163	1227541883.0016727	0.0	0	479086.3913184984
59	34.06983605385272	36.533968020490235	34.579429304078445	843928731.9368144	527469102.8862769	316459629.05053747	1173043891.690053	0.0	0	503033.73612048815
60	37.31425030663786	39.47723083847592	30.406934332277345	983139802.8493354	575732077.3738744	407407725.4754604	1265386269.5300322	0.0	0	549060.89532268
61	23.86930432652671	25.020459197864916	32.97098116999687	678321073.1469816	362374096.8417209	315946976.3052606	1233100490.4568856	0.0	0	345586.86908886046
62	32.5089362885978	33.99688640458836	36.45663966050452	1074241328.0039072	502928373.5456018	571312954.4583054	1134792930.0372078	0.0	0	479629.8728424089
63	29.063731756433814	30.096533822466455	34.26025786282959	980776644.3680589	449695565.45618296	531081078.9118757	1152821846.2485642	0.0	0	428863.1109773475
64	32.5367684719328	33.903526536522634	32.291847757454875	936660711.2311466	501163560.6431667	435497150.5879798	1216203559.8510785	0.0	0	477946.8161040943
65	35.769357941715704	36.86496646479654	31.871061498132182	802694312.1627499	553852232.8523196	248842079.31043014	1282772234.9990387	0.0	0	528194.649555511
66	34.580460975384256	35.600019948727216	34.740369850016535	998863247.7372828	533028723.2373721	465834524.4999104	1340631695.6080074	0.0	0	508335.8032582972
67	33.96853984098331	35.52266842871491	27.982660268980464	979229412.8162798	525377392.9015947	453852019.9146848	1308847506.6895313	0.0	0	501038.92603072635
68	36.40389537124902	37.6477912304419	31.502619046140442	967522103.173927	560440329.903748	407081773.27017885	1254217432.6621766	0.0	0	534477.5485074501
69	36.00713033985212	37.058063062274925	26.041569105510316	853599308.534267	555381597.5554912	298217710.9787756	1204253028.1706026	0.0	0	529653.1653933441
70	37.90539315514003	39.21132322759964	32.770442741131326	967232321.0327923	586176193.5613157	381056127.47147614	1274256860.689626	0.0	0	559021.1806882058
71	35.465478642026675	36.152481963466734	33.595528600237	813359395.8934686	548153554.6098803	265205841.28358784	1174988914.9797394	0.0	0	522759.96647823375
72	25.19883595824744	25.99737989234018	29.18780420081842	785217801.4922383	388994756.00626636	396223045.4859719	1180789407.7489233	0.0	0	370974.30801989196
73	42.27724571935314	42.81775124026188	28.942239282263536	858528957.127927	653164167.0010937	205364790.12683308	1251710409.9151766	0.0	0	622905.8904658259
74	33.2407274014862	34.102867977643086	28.94701518459261	777280157.4654322	512876741.28428787	264403416.1811445	1293287579.8132906	0.0	0	489117.37564495817
75	31.89758281010059	33.311230161991695	36.9219190412181	855859853.7226146	495552889.6319481	360306964.0906665	1132726874.34811	0.0	0	472596.06326289
76	30.95735840202057	31.9469367509717	31.899769359343768	687543611.9952674	478773147.73054785	208770464.26471958	1287044745.3607912	0.0	0	456593.65437559865
