epoch       	ep_ret      	ep_tx       	newbytes    	ep_delay   	ep_delay_normal   	ep_throu   
0	14.17803732340558	384206125.83048964	406674177.4629599	0.0	0	366407.514410486
1	11.21744647580772	383792072.686983	459315166.1489689	0.0	0	366012.64256189635
2	17.995796072260358	406336215.18646425	502109765.26307696	0.0	0	387512.41224905424
3	12.303850020408778	386871090.2981998	430090235.7048229	0.0	0	368949.0225774765
4	12.212255791993227	400810804.85449404	426701766.81309927	0.0	0	382242.9703278483
5	13.374150155757615	396062607.282294	495668217.3008934	0.0	0	377714.73625401885
6	13.192918265146675	401191684.4832051	433809512.81875545	0.0	0	382606.2054473923
7	7.6551939639259965	365606276.97925025	398995999.27101153	0.0	0	348669.31627202046
8	19.121015955660273	382895892.393109	463865266.7822535	0.0	0	365157.97843275924
9	13.668011503036205	378739464.69218487	471360756.73721635	0.0	0	361194.10008638847
10	9.118721952271692	364666562.83932936	462671108.3663712	0.0	0	347773.13503201416
11	13.486374753262018	387240306.20104635	487274187.79609466	0.0	0	369301.1343012297
12	8.8014465756174	402084180.3204358	372994653.4640668	0.0	0	383457.35580485873
13	8.017262230255177	358949589.6509085	350909050.83078766	0.0	0	342321.00453463424
14	14.66789155543631	405467804.6967469	473674256.35580903	0.0	0	386684.23146891297
15	13.008934434063864	399132599.6985893	470126810.6830257	0.0	0	380642.50917300157
16	14.475342921303012	378276736.21609783	503473108.28671306	0.0	0	360752.80782327446
17	16.26638032966419	410400989.6819502	487850793.87999487	0.0	0	391388.8832873823
18	20.276325583757977	375414951.81103486	449283097.5746026	0.0	0	358023.59753707406
19	14.348800579031789	379946202.42530555	406021777.7357329	0.0	0	362344.9348691038
20	20.814070804240988	402000227.8216979	465453358.43127567	0.0	0	383377.2924630146
21	18.65831016876688	413550472.40657336	438787695.3173569	0.0	0	394392.46407182066
22	11.549091469211659	378451257.20718473	482003229.00964075	0.0	0	360919.2440101477
23	22.25243720074274	384444834.54326594	425860621.92994136	0.0	0	366635.16477896326
24	26.292218279476103	425665056.8787685	432392726.6885911	0.0	0	405945.8321368872
25	21.78924719635166	398481485.8643712	465024151.90625775	0.0	0	380021.55863225093
26	20.198078159954147	453383148.31456476	389242579.5918821	0.0	0	432379.8640390058
27	16.714374547976544	434388572.8599324	497502564.5344871	0.0	0	414265.2252768825
28	17.12722734421161	403203098.0477052	442677773.5023217	0.0	0	384524.4389035275
29	22.76756810989319	446124628.39135367	407511578.61541307	0.0	0	425457.6000131165
30	23.314870758074605	421534084.69616985	475207126.60700274	0.0	0	402006.230064554
31	17.348987391895037	378187379.06431425	438640744.44017845	0.0	0	360667.59020263114
32	21.568273916765555	433449073.70295084	453816568.7251217	0.0	0	413369.2490605839
33	22.349264653105692	418457362.01901156	429487986.7039889	0.0	0	399072.0386686437
34	24.730733241177195	439602486.5656444	456204602.27598906	0.0	0	419237.6008659786
35	13.93488314876119	424385394.25707984	413297207.49534726	0.0	0	404725.4507609175
36	25.784744917088357	442617109.5884281	444220675.93008286	0.0	0	422112.5694164544
37	20.35574462060324	424293297.74896914	475621932.193047	0.0	0	404637.62068650173
38	21.280464265371677	425501490.1253382	446113149.6792721	0.0	0	405789.8427251227
39	22.980053176086532	335950561.73264897	449067335.5979142	0.0	0	320387.42230667983
40	21.06888900088432	395484303.6173216	486356766.81711555	0.0	0	377163.22290165105
41	37.3466937195031	485085647.2588882	545632288.4849377	0.0	0	462613.7230481035
42	20.478202054823218	377133549.5652109	426064372.7933584	0.0	0	359662.5800754649
43	21.86149660810453	410783542.94626933	453756075.78179765	0.0	0	391753.7145102208
44	30.455998881097745	449016070.90587217	459896592.7760772	0.0	0	428215.09447657794
45	29.434947243572886	431670249.70022976	427566631.04189104	0.0	0	411672.8302957819
46	21.323142512361688	391044160.98247707	498764192.47693616	0.0	0	372928.7729096193
47	22.561031200404063	428063923.89534116	484501222.0974162	0.0	0	408233.56999906653
48	18.113727239717086	432484453.4942475	418316300.0408269	0.0	0	412449.3155424572
49	23.14133996914916	446578554.01711476	462735611.02776927	0.0	0	425890.49722396355
50	19.348520040801656	380078982.4470102	496454537.2216969	0.0	0	362471.5637655356
51	29.06368651078499	445574167.7437981	446633356.3013205	0.0	0	424932.63983135024
52	29.996376959322056	470171823.6952438	509233066.64356834	0.0	0	448390.7925560414
53	18.908426670291597	404512203.1008287	410509950.72095263	0.0	0	385772.89877016906
54	21.79057566267431	407310648.6246034	422080038.59172183	0.0	0	388441.70439205476
55	17.466658193952615	423344912.3538961	454973190.8665205	0.0	0	403733.1698931656
56	30.20380141832076	438763800.9944487	550465277.8842224	0.0	0	418437.76797718863
57	23.13222150609904	425000819.2753635	482621651.25230366	0.0	0	405312.36579452845
58	29.630091910938397	428844255.8270073	428373820.1874254	0.0	0	408977.7525205682
59	26.71254080604794	439849767.4959216	483542462.7230914	0.0	0	419473.42633812095
60	35.46138112638127	459884845.45324814	469891343.84207475	0.0	0	438580.3656132204
61	26.290675182663545	427753623.636047	431247638.7455654	0.0	0	407937.6446114035
62	29.8029558683708	431884876.7553775	473600854.75479805	0.0	0	411877.51460588205
63	19.634552728944467	463073224.7863314	486277534.8389717	0.0	0	441621.0410941422
64	26.229558727088577	451395908.6081608	476507124.5173914	0.0	0	430484.68457046594
65	31.236096456583706	417374228.25350255	444649329.6757645	0.0	0	398039.08181524527
66	30.167941107938653	424645829.1684311	405232518.4170457	0.0	0	404973.8208469686
67	31.26921277679279	438929973.6031232	463099221.9677439	0.0	0	418596.24252617185
68	31.201378659547764	391584685.1817709	429382450.0332158	0.0	0	373444.2569558819
69	34.14172585776904	489883375.55373424	496078236.8075956	0.0	0	467189.19329999364
70	29.511699100559483	458939913.2534267	492820300.41020346	0.0	0	437679.2080435054
71	31.30311926368434	444372543.2148698	496348173.32404554	0.0	0	423786.68138014764
72	26.27464570267157	340157652.4187829	477069935.98477656	0.0	0	324399.6166408376
73	21.134933369425294	431840243.03040016	502150944.92519826	0.0	0	411834.9485687258
74	33.45876618645782	436269365.8431098	513724399.2915186	0.0	0	416058.88923941576
75	29.408679637395952	400176190.9987915	468650800.56735396	0.0	0	381637.75539282954
76	38.42651933688672	513620425.283064	512610224.3337437	0.0	0	489826.6079741135
77	30.351385687386294	459999571.74762434	478193279.5383774	0.0	0	438689.77713358344
78	29.223108149552903	421680827.89218515	498272273.5718093	0.0	0	402146.1752817012
79	31.703109314252035	425475370.2003825	454890484.1373806	0.0	0	405764.93282354577
80	26.47087763949356	384768584.97191817	466014502.2176361	0.0	0	366943.91724769416
81	42.60807512784517	503865850.62224627	555108348.9235121	0.0	0	480523.92065262445
82	32.80366955484164	459025779.10168684	517094649.28923655	0.0	0	437761.09609764727
83	37.653595416653	456404904.5675365	562164064.9325745	0.0	0	435261.63536790514
84	43.59407807188239	533188444.8991901	564017039.8485821	0.0	0	508488.1257049467
85	28.615349451469104	386234019.22470504	500160833.24773175	0.0	0	368341.464256959
86	28.493075374946052	428277175.6218479	471733193.01621777	0.0	0	408436.9426935652
87	35.118850223889204	493902695.462619	466287235.79499054	0.0	0	471022.31546651747
88	28.805207910631474	441078743.2249502	507353722.0917554	0.0	0	420645.4689263822
