epoch       	ep_ret      	ep_tx       	newbytes    	ep_delay   	ep_delay_normal   	ep_throu   
0	25.166263930216694	500855331.1299332	820604341.1467904	0.0	0	477652.8655337651
1	21.945645012560295	483352364.67216235	825232568.503699	0.0	0	460960.7359620689
2	24.669670294673978	512293299.14023215	861926119.597001	0.0	0	488560.96185706346
3	30.71464795828664	530937385.2400069	859623545.916575	0.0	0	506341.3479232853
4	26.913538388659752	531977165.65567756	857523637.1397064	0.0	0	507332.9598004127
5	22.19413088474722	502418842.16688776	833992894.5272976	0.0	0	479143.94585312635
6	20.35244563526044	473679797.5016721	879673604.5610989	0.0	0	451736.257077858
7	30.330275208034884	528006346.7264611	916143480.293374	0.0	0	503546.09177251917
8	28.646488354917455	501390686.8204096	796865345.6858387	0.0	0	478163.4205059143
9	31.60427292963793	514987949.4047364	818692411.6155604	0.0	0	491130.7806060185
10	25.052502836057155	478093307.07877076	816059079.8748682	0.0	0	455945.3078067502
11	27.814430189197083	464275827.66632015	873284730.4283078	0.0	0	442767.93257362366
12	22.456422732139718	472435407.0347627	862221847.793412	0.0	0	450549.5138499858
13	30.61520460841177	501303381.1803639	842053634.5701857	0.0	0	478080.1593593255
14	28.400299109233092	496242731.6178578	819542256.7764993	0.0	0	473253.9478472308
15	29.87319968172553	521589851.75649035	780399718.5532053	0.0	0	497426.8453183081
16	34.023016495925965	507563023.6245272	868699704.0672802	0.0	0	484049.81958821055
17	32.315164625325274	504340582.2254117	798261874.0200224	0.0	0	480976.6599897497
18	31.21285120775008	488548549.78800803	834902514.9429513	0.0	0	465916.2042503436
19	32.31618598882457	463687117.7818139	858554777.4296814	0.0	0	442206.4950769555
20	31.960725344462922	500715445.63537776	805384131.7239364	0.0	0	477519.4603303699
21	34.55747125081887	512052583.02439445	845843978.3392692	0.0	0	488331.397079844
22	28.6461561412326	478732373.5583692	843077680.0329145	0.0	0	456554.7690948192
23	31.451327745592526	491265973.68842065	763278710.3340689	0.0	0	468507.7416309553
24	25.489406083599924	441769016.920512	803189974.3958828	0.0	0	421303.7652211303
25	33.195604896332576	507905165.4430977	900500751.8356102	0.0	0	484376.1114531493
26	30.6658805614339	530855845.0851198	942458660.4679185	0.0	0	506263.5851718138
27	30.47396183895369	497622772.3786039	964755140.1814246	0.0	0	474570.0572763478
28	30.242303576542856	515531607.08227986	910029553.7860087	0.0	0	491649.25297000876
29	35.042097841385996	477620317.17716813	893672243.3511571	0.0	0	455494.2294856722
30	37.668324304486816	515618010.4829281	890370390.4206042	0.0	0	491731.6536740572
31	36.69288776414641	591247002.8433311	987370440.7276139	0.0	0	563857.0812638579
32	34.52248730846676	520137454.8035973	853400581.9849957	0.0	0	496041.73164710746
33	34.28749402219935	473066822.9031417	926863082.016895	0.0	0	451151.67894663004
34	32.004447121620935	532152335.0376849	933499819.0385665	0.0	0	507500.01434105384
35	32.87062850181612	552837432.7626265	840708533.903127	0.0	0	527226.8607736842
36	35.99003423557246	556984297.4283513	834297836.4498494	0.0	0	531181.6190989983
37	38.638849737043145	543613270.177591	834317422.1406343	0.0	0	518430.0138259802
38	33.63447368360613	505195186.7184036	929202843.2193427	0.0	0	481791.6743454014
39	35.13924430618481	496692831.85335594	940779892.3397846	0.0	0	473683.1968816335
40	37.54104062417718	547625056.1126478	896908411.8554426	0.0	0	522255.95103516383
41	39.05129621653789	580167923.5664474	898232239.229603	0.0	0	553291.247908065
42	35.77971433265821	536914498.034008	992189529.8700523	0.0	0	512041.5668811875
43	36.631159550039406	555302097.6623387	934867420.3728116	0.0	0	529577.3483870877
44	30.321456156650697	435901313.5396172	910249398.9297743	0.0	0	415707.8872104808
45	35.834655993786924	506360882.23501086	958137991.7878532	0.0	0	482903.36822033976
46	37.70831768790896	533735462.35663164	921859510.6022635	0.0	0	509009.80220473453
47	42.37644065339759	570916649.6858798	884009376.2303023	0.0	0	544468.5456141279
48	35.30643107243315	521388088.6460363	936340026.4651769	0.0	0	497234.42902187
49	35.10074663159716	487284026.5757771	823031540.7703773	0.0	0	464710.2609403391
50	37.08037260934646	545662734.0636576	978807874.7354959	0.0	0	520384.53489652404
51	40.643622793121686	546419737.2377112	819102966.9200399	0.0	0	521106.46938105696
52	36.584647733634135	532742847.16559404	880963026.7792597	0.0	0	508063.1705909672
53	34.13030438531278	458152960.5313869	910614857.3978255	0.0	0	436928.71144427
54	37.165873016189835	504544894.509034	896860995.1707515	0.0	0	481171.5073671665
55	33.74663019724595	454866681.9533062	914463705.9254653	0.0	0	433794.6719677985
56	40.19627828219403	553871535.2856041	915548173.575969	0.0	0	528213.0577903787
57	43.30099368824784	584358580.714131	889446384.0545614	0.0	0	557287.7699986753
58	38.12460542531072	530353020.3720719	938137215.4806105	0.0	0	505784.05415732577
59	39.20881223380776	556348136.7632647	897433321.7409431	0.0	0	530574.9290115973
60	38.32388377702156	524725849.9503858	858178801.1676491	0.0	0	500417.56625212275
61	33.96413464240698	438564874.0804117	943570669.9210607	0.0	0	418248.0564884297
62	42.330825085832956	585953003.7958457	936732194.0409107	0.0	0	558808.3303411918
63	39.34534133471615	583953728.6853456	875391580.4440606	0.0	0	556901.6730168781
64	37.1283940289371	504178567.67501277	914720762.345361	0.0	0	480822.15087415016
65	39.57650626576634	569958793.0032231	913577159.0382013	0.0	0	543555.06229708
66	37.20426014169372	549765751.4715569	853035905.4397191	0.0	0	524297.4772182052
67	41.28057343869517	568694891.7078664	879148546.6766971	0.0	0	542349.712093226
68	36.066125336444664	504368682.11234003	781860259.7543175	0.0	0	481003.45813020726
69	35.59196416086511	460545244.7796834	866760613.659314	0.0	0	439210.17148941365
70	37.88513210488933	501974886.3141874	864781032.3100033	0.0	0	478720.5565587878
71	39.547132902499605	553296478.4899831	989994279.4839648	0.0	0	527664.6408939202
72	35.71537841595687	466131595.4404709	924129139.1464298	0.0	0	444537.73063704575
73	34.83314372500114	527541790.0252037	861889328.2149574	0.0	0	503103.05597801565
74	37.65924817971211	522814055.7871202	874553891.3793975	0.0	0	498594.3372603609
75	34.298407668183735	525441204.54905605	889068470.999501	0.0	0	501099.7815599975
76	35.627346774834145	533416610.957726	855185419.1948001	0.0	0	508705.7218148481
77	39.200203663217884	539048701.7540714	820099587.5784484	0.0	0	514076.9021549906
78	38.39471168468961	549734512.5256354	892158926.9013245	0.0	0	524267.6854378085
79	37.75974081715576	472758228.65600514	911463730.9583381	0.0	0	450857.3805389453
80	35.792034106657596	469714605.85018986	871410011.8210675	0.0	0	447954.755640211
81	39.57989263763529	523180424.82201236	930620453.8883817	0.0	0	498943.73399926425
