epoch       	ep_ret      	ep_ret_tx      	ep_tx       	newbytes    	ep_delay   	ep_delay_normal   	ep_throu   
38	15.345502264329932	22.204648934934735	664084833.0535566	534325549.85743636	0.0	0	633320.6491981092
39	15.046504104585988	22.930060802259376	657291069.5736973	519904967.0833159	0.0	0	626841.6114556286
40	14.938925862054715	22.54335196710729	679496424.354583	478712552.5508587	0.0	0	648018.2879968485
41	12.400908738680858	18.619606199840014	671000102.787348	486111366.5217985	0.0	0	639915.5643342475
42	15.55972804775211	23.395735228798667	795361150.3232571	530568343.22580373	0.0	0	758515.5013306207
43	15.293505623896447	23.07569680513494	755674518.0412277	467222491.4868895	0.0	0	720667.3794185903
44	15.20773120861211	22.504074462229525	717201310.8192201	471325725.8095682	0.0	0	683976.4698211865
45	18.251333357481176	28.120272067525626	765740541.6487249	459292070.19952846	0.0	0	730267.0876013994
46	12.124853543838443	17.49890991162751	641280550.4590794	507174103.4026439	0.0	0	611572.7905836862
47	14.128223215138645	21.236211474264753	721138138.5308048	468897256.2027543	0.0	0	687730.921297841
48	12.826232346318708	19.481602588680406	581173920.9577513	481392949.1795495	0.0	0	554250.6417825235
49	13.899057629049713	21.181819543115502	579426959.578774	444182746.57412994	0.0	0	552584.6095836387
50	18.522657684837213	27.049376727700558	730236444.5381185	524653211.8611218	0.0	0	696407.7420598208
51	14.450226788651024	22.525841962394843	544258804.9605653	505807850.74034095	0.0	0	519045.6437688495
52	13.059074453271053	20.115937920325745	660071969.1225725	457446012.32055384	0.0	0	629493.6839318962
53	17.241175271375813	26.067060353204457	704174043.6466477	506136950.2099907	0.0	0	671552.6997057417
54	14.392956660621149	22.620251269002694	561956443.6623173	517870360.3941028	0.0	0	535923.4272597475
55	15.575736703917924	23.614482380560318	605722987.8084371	509234222.2707756	0.0	0	577662.4563297627
56	20.78126620924044	31.649363216171267	758527836.491017	488899984.1039649	0.0	0	723388.5159406825
57	17.536912418530825	26.938515125489698	696516352.9467198	473209828.1139412	0.0	0	664249.7567622372
58	16.656443570142365	25.608674098363224	763180954.0445771	452663120.18703896	0.0	0	727826.0746427316
59	19.171105627046288	29.5191969232388	757526500.7254723	473233202.9248104	0.0	0	722433.5677389838
60	21.30999621842481	30.81402209003695	758613917.525942	509099948.72050744	0.0	0	723470.6092128201
61	20.71556559813735	31.819943015711615	730725913.7846856	464210412.14455175	0.0	0	696874.5363089425
62	16.665501895282564	25.36858008229744	699718347.7947372	541882201.6411042	0.0	0	667303.417010057
63	17.638082214713414	26.867911703451092	674906097.5150421	503064865.5527333	0.0	0	643640.6111860675
64	18.15134990987874	27.655953132772446	647004922.1839104	472339053.75047606	0.0	0	617031.9768752198
65	13.8044709539417	22.771708039511896	562480833.4718375	474377724.39671034	0.0	0	536423.5243528724
66	19.99868375081868	28.941477206560215	705626958.8577728	491316889.14878714	0.0	0	672938.3076265077
67	22.576741739528753	33.27229555793978	752187165.8646508	541683112.0898154	0.0	0	717341.5812155253
68	18.161571658234916	28.020031393823697	688977648.2336458	568800278.3237966	0.0	0	657060.2876984077
69	17.57437612595987	27.22068189165212	626506709.5029134	495302447.96763605	0.0	0	597483.3579091202
70	17.335336015811055	26.59875204576272	615238172.8336006	578322740.1225109	0.0	0	586736.8439041146
71	18.385915342625278	27.844522619805804	624483318.7227834	461040115.66729987	0.0	0	595553.7020900566
72	21.949838288700995	32.54532882004017	705628784.2376742	525188502.75591755	0.0	0	672940.0484444374
73	14.094662753870242	20.526745517197664	589181552.3763132	563463965.771617	0.0	0	561887.3142016537
74	22.73148961887073	34.21680689219379	780304757.4815885	534286417.35911876	0.0	0	744156.6061797983
75	19.331608077414646	28.730583747723983	737357499.4033028	508684918.07295054	0.0	0	703198.9091904666
76	18.409879490665688	27.580780967220026	641524246.9383974	536135839.6458414	0.0	0	611805.1976570103
77	21.539790975590765	33.66341864883514	768417637.2212683	542434934.7409043	0.0	0	732820.164891499
78	18.276984808308068	27.585416024438793	734086324.7688814	466545779.10548425	0.0	0	700079.2739571397
79	16.328712352165173	24.586081218272984	571553936.8832618	584838148.3482021	0.0	0	545076.3100464457
80	16.728307365787057	25.456457189157064	677096745.5876131	513555342.1657797	0.0	0	645729.7759891637
81	20.498219268466475	30.60292228746054	744765445.2720723	542833695.1199803	0.0	0	710263.6769028401
82	10.258529994385444	15.174649682321979	714082672.3244897	452761829.64906293	0.0	0	681002.3043866056
83	10.268333415119868	15.609948178951276	590846758.1526153	456288062.04854643	0.0	0	563475.3781820445
84	18.030130670422555	26.814034679951277	707594490.9083487	557246804.5564007	0.0	0	674814.6924098479
85	10.771168820480035	16.39169475254644	684260753.3317698	443696499.93453175	0.0	0	652561.9061773012
86	15.910315374643709	24.47727388008237	610302864.3864478	482412215.73854584	0.0	0	582030.1669945219
87	22.771090448083314	34.75088037756043	778303170.3233154	444447276.3887854	0.0	0	742247.7439149049
88	22.42434362273216	33.968377944895146	810016107.4233396	583482681.716621	0.0	0	772491.5575250048
89	19.590324108820482	28.49414707297195	702161151.5353829	445624393.1837785	0.0	0	669633.0561975314
90	19.73131360295308	28.23731060546192	647133284.24805	487293385.830313	0.0	0	617154.3924789905
91	23.003275372313716	34.281225365585996	739281638.3807511	559321915.3277011	0.0	0	705033.9111144552
92	17.97017428995439	26.55260202146113	671638096.1790804	508790604.34098023	0.0	0	640524.0022459797
93	21.783602948942917	32.10477501790271	736311672.3346981	529411742.9105035	0.0	0	702201.5307757356
94	21.63947024431204	32.13165745014434	714171035.4072353	528398523.29990566	0.0	0	681086.5739891393
95	26.539820406386227	38.82380067251512	839070933.041287	589398729.2285261	0.0	0	800200.3984845035
96	19.76649513137042	28.27863658387076	640704071.8096297	480240260.72258866	0.0	0	611023.0177017496
97	22.34108667871552	33.84468831487525	758048889.8260438	464358979.16003686	0.0	0	722931.756807369
98	21.149909853551517	30.373571198264777	700344587.456102	503386654.5720923	0.0	0	667900.6456910151
99	15.546764649469244	23.654393143904837	546277789.4988736	519807765.888661	0.0	0	520971.09746825555
100	18.774734402677606	27.21506375835179	652835115.8086327	470039458.4935102	0.0	0	622592.0827947927
101	20.702523428503124	30.35513888168576	731867658.9842875	480584738.9159454	0.0	0	697963.3893816831
102	16.437739416394276	25.05527990966951	648376927.2164252	453277252.8504762	0.0	0	618340.4228367092
103	23.104566730979105	33.7692366519539	756486029.5850166	460696737.8644013	0.0	0	721441.2971353688
104	22.2891157733629	33.29905416099665	777299361.8217869	480210388.3840325	0.0	0	741290.4375284071
105	19.94175999332406	30.22281159928996	679543916.9624436	517256991.1800843	0.0	0	648063.5804771843
106	18.509851791600326	27.218245099268838	642456010.7177023	551384740.9632246	0.0	0	612693.7968422909
107	19.3928252629157	28.32072413586251	697133881.8082228	487823240.00147384	0.0	0	664838.6781770925
108	22.27746137866137	33.818337007216016	753163645.6280594	507436769.8016656	0.0	0	718272.8248863785
109	18.525691914541177	28.611237627939673	663913110.0030366	531748097.6519854	0.0	0	633156.8813352933
110	18.166049290659483	28.203113579604267	769695463.954762	476868778.3319856	0.0	0	734038.7954280496
111	21.48565868414718	31.51026888252201	727166378.3481483	516413396.4758154	0.0	0	693479.8987847789
112	17.99590624936658	26.32853863155765	614823577.8085899	484785626.5056924	0.0	0	586341.4552770522
113	17.716699952014732	27.34266071237304	724882225.291927	494339129.7370222	0.0	0	691301.56068032
114	6.01095038029769	8.751630021701645	650168813.3068419	381859154.1782231	0.0	0	620049.2985790654
115	20.708172332858755	31.041666274144973	706713581.8471795	526518503.8015446	0.0	0	673974.5920631213
116	6.434769729374248	9.644369186276636	582200915.7239776	353433627.2199	0.0	0	555230.060314157
117	21.916211826773775	32.69389294432671	757379667.8817153	504170934.6137715	0.0	0	722293.537027087
118	14.391982302633311	21.70555924336254	620958219.1444184	529132796.979018	0.0	0	592191.9051593953
119	20.06098975143683	29.917213016928788	748715786.1539583	440723985.94144547	0.0	0	714031.015542944
120	19.23388117459195	29.090555765130865	709593387.9691228	548518090.4548349	0.0	0	676720.9891978484
121	22.167028498999233	32.22502010214201	770557077.581841	518025794.3617166	0.0	0	734860.4942148598
122	16.773235836780096	25.145541423774446	607990051.1822213	502382264.80772555	0.0	0	579824.496443006
123	17.448935930789087	26.90707913897071	595929128.6078905	508925992.44230926	0.0	0	568322.3043517022
124	22.326120269042008	32.95094499944382	791040919.6138122	454818430.92776	0.0	0	754395.4082620741
125	20.828309515681536	31.092888571981266	770035025.0961397	483809979.6201904	0.0	0	734362.6261674304
126	19.453291412103017	28.721118750499894	652591343.2430258	619265135.9816443	0.0	0	622359.6031599293
127	18.274356283261497	28.117487515916675	660777016.9340533	493722983.9119818	0.0	0	630166.0699215443
128	20.692713379217597	32.016192833920464	699660221.971811	471013607.725004	0.0	0	667247.9839056123
129	21.454063032415895	31.289900742971827	744783297.3865641	502263912.93847454	0.0	0	710280.7020059241
130	19.816248508123476	29.40292321382911	693740199.7243962	467161086.698289	0.0	0	661602.2107356994
131	15.302294881190692	23.64581502546144	631018364.5846986	448294144.61746407	0.0	0	601786.007485102
132	15.806993772944397	23.85025420939127	560795427.2015164	489632667.67734164	0.0	0	534816.1956801573
133	20.088002086202646	29.933440368165925	691039736.0961237	491076271.7198882	0.0	0	659026.8479310265
134	18.95444631306089	28.971830852340375	661248367.0347972	517952681.6784947	0.0	0	630615.5844066589
135	22.70065669360444	33.37249367454389	749821448.424938	483410289.01001	0.0	0	715085.457253397
136	18.957189298744968	28.63059048199964	642536021.5572665	478569353.33847916	0.0	0	612770.1011250179
137	20.065632668731794	28.752438238025903	642681711.2339884	496767884.80847955	0.0	0	612909.0416278731
138	17.78011085652148	27.291159030182584	718510605.0337349	498410179.54981893	0.0	0	685225.1100861882
139	23.990324152519467	36.23821254729241	787519082.4483519	496068553.66454726	0.0	0	751036.7226108095
140	20.67252554889122	31.397903071643753	700906355.3781347	499079461.7836709	0.0	0	668436.3893300388
141	18.257586001871545	27.14938131948896	607663449.9864439	538294730.5711257	0.0	0	579513.0252708857
142	21.056683207888682	31.338955576578137	684783507.4799558	498163640.44926786	0.0	0	653060.4433822209
143	16.662910414620278	26.067781506720884	576056175.0692024	507504707.55533504	0.0	0	549369.9789707208
144	18.87108101069338	27.19179205692679	596174497.9353445	516848137.49190325	0.0	0	568556.3067773291
145	22.31156894662448	32.890741417518754	751038053.8786097	519802642.2807551	0.0	0	716245.7026277632
146	16.653026067909707	25.16974794876347	563612411.6228483	433992427.417532	0.0	0	537502.6813724978
147	20.473763634686087	31.40264898820831	720900861.5466166	452768984.266741	0.0	0	687504.6363321462
148	12.46628347651794	20.22213830490997	467565758.77714056	563386646.3364286	0.0	0	445905.455376759
149	15.05834697880484	22.822056902639012	518983918.7168931	475360257.0037578	0.0	0	494941.63390816987
150	21.290489085115752	31.392573154978077	722362553.7795464	441541687.731209	0.0	0	688898.6146731821
151	22.363343945382155	34.15789675665675	703684100.438504	563485051.8790377	0.0	0	671085.4534516373
152	22.488131720637988	32.649478442492324	761754828.6056361	512970405.95061237	0.0	0	726466.0154396405
153	23.97352589961773	36.61287490793367	805684643.4181032	488451524.212455	0.0	0	768360.7515507727
154	18.509991387470933	28.356217651696582	641566306.0006772	550057362.2129631	0.0	0	611845.3083044789
155	14.528785185637592	22.561448607065124	572301786.7060287	485916886.72351104	0.0	0	545789.5152149474
156	15.164177842284861	24.739366188392733	584317294.1918606	548965112.6108916	0.0	0	557248.3961027724
157	21.22867512147304	31.314033392769804	825208034.826862	529748932.77702063	0.0	0	786979.7085064527
158	19.024294531832773	28.29273491691561	609399991.6117232	485050730.0408793	0.0	0	581169.1204182849
159	24.679712228172722	36.64889845430823	877353246.6475127	543922968.0360532	0.0	0	836709.2577433706
160	21.492685902511965	32.84342045041755	671843882.3970987	518153443.37014925	0.0	0	640720.2552767742
161	24.351597695395657	36.96967523199819	787530769.4352931	542557156.6000614	0.0	0	751047.8681900911
162	26.160620584763727	39.27596762186167	847710447.1786945	548811269.9067504	0.0	0	808439.6812235779
163	22.447720567886908	33.10903661736133	715136942.7716085	451067455.9109293	0.0	0	682007.7350345694
164	14.669494318188478	22.383422431906244	516345654.6763412	505228132.294229	0.0	0	492425.5892527972
165	22.948626681902518	35.31548488975456	875940149.9112601	477584735.16372126	0.0	0	835361.623679409
166	22.113690018489642	33.59000421278593	719497591.0034373	503838209.3951875	0.0	0	686166.3732561467
167	16.203387806811506	23.987617700650453	528528962.8387373	540560681.1968726	0.0	0	504044.49733613705
168	21.046504769956858	30.348201786564704	691349159.8247699	544447799.6198025	0.0	0	659321.9373939225
169	16.655869245309713	24.993724572661883	591979415.0899371	511781777.34478694	0.0	0	564555.5640124674
170	13.975672503492543	20.195948295545328	463190891.64937073	498928013.86137986	0.0	0	441733.2569593151
171	21.514945736264174	32.67706441085443	770513471.3395206	531459301.5213756	0.0	0	734818.9080615236
172	18.610333517616077	28.48284182133407	617603374.3147691	582000455.9837523	0.0	0	588992.4758098306
173	21.579221705581404	32.4835343861439	763891893.3160523	473926484.9537914	0.0	0	728504.0791664623
174	23.599650192303827	35.25219973378828	787679836.6483439	548134696.2761445	0.0	0	751190.0297625959
175	26.532114045848957	38.98141982599519	802904613.9924215	577465208.6362398	0.0	0	765709.5088886466
176	23.17008238218629	35.123350810234435	777235086.4957533	513485326.3958185	0.0	0	741229.1398007902
177	22.056125050998862	33.22273416034796	724411113.6115686	431044360.3856022	0.0	0	690852.2735706028
178	14.731681954508899	22.46166980772716	529720439.3065336	538743931.3274465	0.0	0	505180.77784207684
179	22.36204911421565	34.23465632909286	770857266.69993	542155757.2019569	0.0	0	735146.7768668457
180	22.396400507047964	33.90183214403834	731682906.4459128	519979710.0018077	0.0	0	697787.1956309436
181	17.3120820296746	26.47777208380028	598073487.9595908	497742343.3786287	0.0	0	570367.3247905641
182	18.569473188363986	28.27118937593797	642509659.6790175	415672013.5268273	0.0	0	612744.9604787992
183	22.632901371380587	34.115767323049745	796881438.6631501	422227894.758745	0.0	0	759965.3612739085
184	20.7353567212297	32.106663654200055	711819866.6084994	486617652.00356615	0.0	0	678844.3246922487
185	24.341961202347132	36.1082410292979	803277595.9054769	481085460.63693434	0.0	0	766065.2121596115
186	21.64239518959319	32.53009417009993	717625379.2664188	549345114.9236107	0.0	0	684380.8930076779
187	22.698889665850935	35.35813247708294	771059287.3418752	539108708.0723505	0.0	0	735339.4387644532
188	18.651035467853276	27.62278712802442	638838858.6752926	477586751.8200747	0.0	0	609244.2118409084
189	21.922303940433924	33.652962589239294	728868028.2627501	472820856.9656414	0.0	0	695102.7186038498
190	18.800109370336298	28.09244063034654	664796125.5832083	518497530.83392596	0.0	0	633998.9906150897
191	12.473252465282897	19.191571495130905	477860154.3846247	452004385.1524127	0.0	0	455722.95607054216
192	20.011783392375982	30.39736400757337	653327486.607757	441391939.1676201	0.0	0	623061.644180066
193	16.219060010967834	24.83980568526783	569944079.6277359	504558573.44233036	0.0	0	543541.0305287704
194	17.13775829884371	25.9430823623006	542848336.6958404	465289780.242269	0.0	0	517700.5164106752
195	20.31340325777418	31.105435613286232	672752703.5285785	550911539.9914665	0.0	0	641586.974648074
196	23.07529663674579	33.91296413372715	705969435.6996017	483188454.27987057	0.0	0	673264.9189945236
197	19.863540321163484	30.393998917463747	683826655.5771928	454335071.62276685	0.0	0	652147.9182979518
198	20.894711786161846	31.33949503106795	677496397.5837836	444995161.95274955	0.0	0	646110.913833412
199	19.18793400996592	30.326621797987446	702975073.5670832	537732445.7997508	0.0	0	670409.2727347211
200	19.49257723618341	30.75336994695418	678211423.4111016	470458788.4141919	0.0	0	646792.8156004918
201	14.179637749126632	21.398305363498036	422113861.70751554	517277234.8973194	0.0	0	402559.1485095172
202	21.30157396629127	32.36101648502975	688417016.8820423	502390558.45320827	0.0	0	656525.6279774117
203	18.912919327136876	29.687704865513897	671300366.7553442	569631730.5057197	0.0	0	640201.9183686678
204	19.42089050195003	29.460530621108305	628086845.7552562	493383562.81930625	0.0	0	598990.2932694016
205	17.645075972009497	25.762030734707885	588456399.63306	493803361.56867653	0.0	0	561195.7546549415
206	19.403067325046624	30.579690129134974	661791251.5894916	462160930.11172384	0.0	0	631133.319463245
207	22.812794701163096	35.296613075965276	758643420.3803347	554896174.0191077	0.0	0	723498.7453273147
208	23.502603988735597	36.337314849288205	834009791.2476587	514108980.6935799	0.0	0	795373.7175442304
209	21.73242994426145	32.085640665181025	660126575.5372934	484340938.725557	0.0	0	629545.760667127
210	21.404068208330035	33.21997345138874	716914336.5836173	518488635.2942956	0.0	0	683702.7898632213
211	18.75373369153324	26.766218689192765	604586485.1204474	534404376.61120886	0.0	0	576578.6029057003
212	20.801393352017616	31.076110045217487	670240063.0689341	518808098.9848464	0.0	0	639190.7339753474
213	25.669344294875554	37.75770977388756	859322780.1534116	515607287.77840877	0.0	0	819514.0649351228
214	24.056205720171274	34.40569619997694	758530407.9003174	519385177.39280355	0.0	0	723390.9682276894
215	22.29223059787347	31.57116573932411	693902524.9948323	469032212.2614466	0.0	0	661757.0161770177
216	22.655772698349665	33.31733816995569	756515555.4207758	500931044.2972856	0.0	0	721469.455166603
217	19.82333699511507	29.94146250036716	691253675.9436029	556310132.3424028	0.0	0	659230.8768688232
218	12.454496662892849	19.13617600381056	447880209.9411927	416637388.7176268	0.0	0	427131.8530475546
219	21.241708752884087	31.807979708719603	662847572.6177951	446502725.8752155	0.0	0	632140.7056978177
220	23.507156544524722	36.13510676483394	766576620.0772924	546637506.8485305	0.0	0	731064.4341252255
221	15.909986742996697	23.21739910219093	553397623.1577916	546061447.2222106	0.0	0	527761.0999658506
222	16.348794477138217	25.361685655679494	577620110.6745604	508005304.59765536	0.0	0	550861.4641900638
223	20.72691750717816	31.294036802914228	721381570.9742725	601058097.6418421	0.0	0	687963.0765669559
224	21.089618588198103	31.410504610992742	700849442.3314415	590008239.9946932	0.0	0	668382.1128191388
225	21.13339172484021	32.280101662528374	734973315.1453115	563061566.5501906	0.0	0	700925.1738980403
226	23.08084598243644	35.71339494450514	767515751.5952309	569747932.9277208	0.0	0	731960.0597336112
227	22.199562805163662	33.26802398647488	683334155.6396142	515784521.35015583	0.0	0	651678.2337566508
228	25.884188881853834	40.43089014656587	819436845.822878	477297282.55230606	0.0	0	781475.8737782269
229	22.658259512447653	32.87780264265602	765508337.5400453	503477877.14222467	0.0	0	730045.6405067876
230	23.019202485385367	35.03941024438291	762861127.3583415	469901654.07185423	0.0	0	727521.0641463677
231	18.083348109021998	26.881819596555808	568256943.6675632	535869066.7828623	0.0	0	541932.0522952683
232	21.741494052248743	32.07090678284286	736072426.0570441	608638095.9339433	0.0	0	701973.3677454414
233	20.682702523625526	30.87430749553266	741251497.748559	469603532.15801895	0.0	0	706912.5154004665
234	23.136947879889792	35.621119626467994	771904263.487636	549195558.747951	0.0	0	736145.2708126414
235	22.41695660844712	33.657740861814986	773160495.4643458	449435446.08779764	0.0	0	737343.3069842778
236	24.940099402189556	37.057877711545586	768060898.2448363	480986948.23317266	0.0	0	732479.9520920144
237	26.303086676740204	39.23510209428962	775285911.5008554	486516514.5464987	0.0	0	739370.2616699748
238	24.077223504949888	36.52844233718404	747646444.9207418	469094444.59096164	0.0	0	713011.2122733515
239	20.431458476181582	31.773888284094916	654469055.5833652	408209974.0455427	0.0	0	624150.3291925098
240	18.16856547461722	25.409617093853658	560507127.3339847	477850569.7967065	0.0	0	534541.2515010688
241	19.22648492403443	29.93119734580143	694278098.0063531	568001168.0499414	0.0	0	662115.1905120403
242	20.28375704472976	30.666831294956534	676802543.380798	519827547.1205626	0.0	0	645449.2029006939
243	18.65098584211783	26.81336631328204	585885990.9711401	482792827.59100735	0.0	0	558744.4219314005
244	13.362800420711133	20.858811630108942	513983972.7071865	510817194.6980224	0.0	0	490173.31381529453
245	17.80421225362897	26.59557233427482	618877783.2664814	580259262.6533923	0.0	0	590207.8468956769
246	13.499066266915353	20.35042984920226	480383673.3942429	463803302.61446923	0.0	0	458129.57133697794
247	17.471619429559016	26.809330956213138	715896420.6319584	456724648.72111017	0.0	0	682732.029563864
248	15.162450996295012	22.835407585862853	544308839.2105478	489608643.8451302	0.0	0	519093.3601479985
249	13.890963266583837	21.728729439617187	563315514.3155162	587603534.0637201	0.0	0	537219.5380358852
250	24.346120356276966	37.53587812561994	808950176.4296501	487595627.1558667	0.0	0	771475.0065132622
251	18.938120348567274	28.210322345084183	659228297.9952589	502969199.7617171	0.0	0	628689.0964462842
252	23.085340990749604	33.332980276219764	725732180.1817204	473361614.6190465	0.0	0	692112.1408288196
253	24.556894220742308	37.00548698110315	796766806.7957587	518971661.7269218	0.0	0	759856.0398061358
254	15.236425121104315	23.036932414062615	589206012.179646	484768503.1236307	0.0	0	561910.6408878764
255	18.057112360321927	27.50115848926308	723629502.2993834	474140984.3763557	0.0	0	690106.8709367596
256	14.803348227623946	22.587745652876542	537915277.4773847	519914650.0294998	0.0	0	512995.984532723
257	20.881981846337858	31.329116648658058	719667631.3491114	475246871.1669252	0.0	0	686328.5363665689
258	17.832902301763614	26.20353785063173	579666198.3843316	576810850.261557	0.0	0	552812.765487987
259	21.729294340756525	31.568761496615927	737015110.1704487	403698084.38996595	0.0	0	702872.3813728794
260	19.74705839294653	30.662401786925678	658339007.1569257	489833328.83059675	0.0	0	627841.0026139506
261	22.035269174197033	32.733517125965875	710526311.8395916	493983952.5832895	0.0	0	677610.6947322766
262	22.389331275298247	32.96362697447163	730374229.6577797	475897836.41102576	0.0	0	696539.1441896245
263	24.336079882563244	35.894024360304485	800895548.3973994	599430009.3879582	0.0	0	763793.5146306988
264	22.911395161239984	36.00638216873397	798840283.0111256	532148303.99010986	0.0	0	761833.4608184106
265	23.688913125495386	35.06703460188923	791537476.3847526	529724302.27406317	0.0	0	754868.9617011574
266	12.319902196454121	18.988018085517048	534128536.33303696	534028808.37834775	0.0	0	509384.6667604798
267	23.694659178889577	35.165001050375785	783629873.0785704	519922905.43452203	0.0	0	747327.6835237221
268	22.70041905101191	35.450761213732854	741273274.3232394	503027244.2055963	0.0	0	706933.2831604378
269	15.748983166143235	24.25612736608463	516112564.4760368	508436945.8057205	0.0	0	492203.297115361
270	21.034003717469414	30.776578474564168	690999433.7718087	558058780.8991586	0.0	0	658988.4126394355
271	22.016797541024143	33.30453152262501	701713092.6679715	486957139.1987536	0.0	0	669205.7539634433
272	21.311900105726238	31.876252410939387	720474985.9101238	521548152.74684346	0.0	0	687098.4896756398
273	22.515134797650916	32.44675024367797	693740260.6377488	500159226.19918877	0.0	0	661602.2688271989
274	9.106135816628628	12.993913935700695	301790274.24818873	513192217.5299435	0.0	0	287809.6334916961
275	23.911890593898697	37.00022673755741	805334216.3993138	469255698.1114535	0.0	0	768026.5583031786
276	20.26784244614387	30.293623413197693	689450734.4302043	603813602.237687	0.0	0	657511.4578535126
277	19.77678524660899	29.939661668919573	673188031.7299842	509575448.4449462	0.0	0	642002.1359729618
278	14.405215057178982	22.342415058426468	474056705.9394741	523907905.94318706	0.0	0	452095.70497462666
279	22.83588992820986	34.7597203727027	745786237.4432983	542142087.047017	0.0	0	711237.1801789267
280	20.950305795419712	30.7625517887987	641938995.7003794	573852090.1740726	0.0	0	612200.7328990739
281	17.321342811564616	26.054277319775657	612592750.0744951	508142532.66158926	0.0	0	584213.9721627187
282	18.498692981598026	28.661983194792867	609193980.4891409	495860098.3167756	0.0	0	580972.6529017838
283	21.403651080513207	30.782286797751198	709073712.3420033	488980837.4433371	0.0	0	676225.3878994018
284	15.577191194868986	23.111155643115357	534175226.442624	526545741.1802763	0.0	0	509429.19391882315
285	16.26964968424471	25.33670055624905	583293384.6130525	505011966.9477638	0.0	0	556271.9198351406
286	10.166533838279815	14.551126728753383	355692578.91481525	509297734.08240193	0.0	0	339214.87704736256
287	11.594940697151994	18.17956479101744	395990661.31380355	449604951.84723353	0.0	0	377646.1232317005
288	18.457409903236382	27.22290652789522	666541167.6579443	514732245.26088434	0.0	0	635663.1924228141
289	17.631011873326564	26.29671672401556	631721481.7048136	473472217.48959154	0.0	0	602456.5522239814
