epoch       	ep_ret      	ep_tx       	newbytes    	ep_delay   	ep_delay_normal   	ep_throu   
0	19.129614890311977	497594037.0510008	474109901.9187812	0.0	0	474542.65313243924
1	15.16537517266783	473463934.24993175	444518227.93312246	0.0	0	451530.39383881737
2	14.985734044436906	493314560.4200205	451305443.4226812	0.0	0	470461.42618181277
3	13.124751846518699	468125441.183962	425733452.7924233	0.0	0	446439.21011348895
4	15.476930551900118	504711594.6758657	423807139.6589635	0.0	0	481330.48503481445
5	20.79100478277776	509813176.2864154	471173381.38348955	0.0	0	486195.732389846
6	20.494920461343224	484827921.9884592	416258604.9414123	0.0	0	462367.9370770065
7	13.839695601292322	466594503.20019263	380502841.4088389	0.0	0	444979.1938783576
8	11.53683511872746	463074980.9814022	381618320.04793376	0.0	0	441622.71593227616
9	21.76602892113675	551894332.6403465	432199375.14708734	0.0	0	526327.4504092659
10	17.85663526230776	442307859.85417444	454231958.55585104	0.0	0	421817.64588754135
11	12.824727315817546	473937055.05497706	486209154.70444095	0.0	0	451981.59699914674
12	25.823180954453466	503879309.2510671	431914692.2687539	0.0	0	480536.755801265
13	18.295103374354454	496985982.28886825	485852741.25309664	0.0	0	473962.76692282513
14	24.556499284748234	493364786.1115549	500965374.8413107	0.0	0	470509.32513385295
15	31.71241181788693	536832784.71774405	491899493.7897851	0.0	0	511963.6389901581
16	30.871238319239158	494983713.852177	531546193.20709807	0.0	0	472053.2549402019
17	31.391610435170815	515399540.2287504	486848614.18266195	0.0	0	491523.30420374917
18	34.69733898572044	505949390.37068814	560243305.5605819	0.0	0	482510.93899792474
19	36.24122446967475	559695516.9382821	499940874.5545873	0.0	0	533767.2395117589
20	32.599353574749514	510709538.8408072	488908069.1145906	0.0	0	487050.5703361579
21	32.74934437040482	497200009.4173873	578410939.3278314	0.0	0	474166.87909830816
22	31.173689601266666	501304259.74744225	428374477.90320414	0.0	0	478080.997226183
23	38.56703327931573	542231492.719667	486154613.32045007	0.0	0	517112.2481533689
24	37.26919216667609	505378260.98509526	511890615.2304311	0.0	0	481966.26757153997
25	38.35432567926959	536680433.4160087	506772371.0664179	0.0	0	511818.3454666219
26	35.040967010100175	481009321.7398031	479315038.729932	0.0	0	458726.23609524046
27	37.34241120805553	519982646.5463502	462953584.8887437	0.0	0	495894.09498820314
28	32.37037345289715	482445025.850264	587432882.208989	0.0	0	460095.43023134605
29	34.82626222821569	541416859.4628382	504105628.00028586	0.0	0	516335.35333904094
30	35.92925843719788	523031762.2568143	443105574.6815202	0.0	0	498801.95832902356
31	37.35254839583499	509311716.62680113	456185175.0792839	0.0	0	485717.5031917584
32	39.79846701458761	503373627.0097745	486693060.357449	0.0	0	480054.4996354815
33	39.52187101389839	546574993.1056521	483118815.6435542	0.0	0	521254.5329147837
34	27.696203457681825	472240693.0547289	468058919.6665414	0.0	0	450363.82012818224
35	39.983647626407524	545205896.7552539	478017814.461378	0.0	0	519948.86088872317
36	36.78541992894771	478554913.99477464	509618910.4335277	0.0	0	456385.5304668184
37	32.8878659673461	537905513.4161202	489011754.6999555	0.0	0	512986.6727982715
38	26.348053666502366	507050838.14932936	487655690.16784114	0.0	0	483561.36145527766
39	11.723297061909166	462278076.5137258	404666433.297475	0.0	0	440862.72860882356
40	24.01331242898152	480810703.538756	505475346.18008447	0.0	0	458536.8190181312
41	30.35942164352028	520358963.54844767	438941044.6688783	0.0	0	496252.9788479305
42	24.975676740105833	522334614.8040132	449763680.4296872	0.0	0	498137.1067085392
43	19.812684491736555	491194816.73919886	458291819.183937	0.0	0	468439.88107604877
44	34.41225797009591	537356122.1745832	459634268.60472524	0.0	0	512462.7324815589
45	23.921083177514667	536700685.55353093	423672820.9533628	0.0	0	511837.6594100295
46	13.983713200159377	466801463.10239947	453537273.9456384	0.0	0	445176.5662216181
47	40.10510625466936	545271088.5028002	554451123.2005459	0.0	0	520011.03258399985
48	19.66914096770814	485121583.66359925	459658765.517427	0.0	0	462647.9946743004
49	19.962111091056702	463618621.52479625	438352450.06572574	0.0	0	442141.17195586785
50	24.879556319709184	504428670.7660602	491645929.1843684	0.0	0	481060.6677685358
51	20.640438059379672	528671100.95468205	451001070.9983804	0.0	0	504180.05080669594
52	36.730188450434746	513841067.499225	555199186.5809644	0.0	0	490037.02878878126
